Title,Instructor,Status,Progress,Priority,Tags,
Noobies' Guide to Modelling in Blender 3D,George Kingsnorth,Not Started,,Low,"{'Blender', 'Noobies', 'Guide', 'Modelling'}",
A Path towards Ethical Hacking and Information Security,Gautam Devaraj,Not Started,,Low,"{'Ethical', 'Path', 'Security', 'Information', 'Hacking', 'Towards'}",
The Complete Android Developer Course - Build 14 Apps,"Rob Percival, Codestars • over 2 million students worldwide!",Not Started,,Low,"{'Complete', 'Developer', 'Course', 'Android', 'Build', 'Apps'}",
The Professional Ruby on Rails Developer,Mashrur Hossain,Not Started,,Low,"{'Professional', 'Ruby', 'Developer'}",
BASH Programming Course: Master the Linux Command Line!,"Ermin Kreponic, Aldin Omerdic",Not Started,,Low,"{'Line', 'Bash', 'Master', 'Course', 'Linux', 'Programming', 'Command'}",
How I Teach 72 Courses Full Time on Udemy - Unofficial,"Jerry Banfield, Joe Parys",Not Started,,Low,"{'Courses', 'Udemy', 'Full', 'Teach', 'Time', 'Unofficial'}",
Creating custom real-time shaders using ShaderFX for Maya,TGA Digital,Not Started,,Low,"{'Real', 'Shaders', 'Maya', 'Custom', 'Using', 'Creating', 'Shaderfx', 'Time'}",
Python from Beginner to Intermediate in 30 min.,Gautam Devaraj,Not Started,,High,"{'Python', 'Beginner', 'Intermediate'}",
The Complete Web Developer Course 3.0,"Rob Percival, Codestars • over 2 million students worldwide!",Not Started,,Low,"{'Course', 'Developer', 'Complete'}",
The Complete Java Developer Course: Beginner To Expert,Ashutosh Pawar,Not Started,,Low,"{'Beginner', 'Complete', 'Expert', 'Course', 'Java', 'Developer'}",
The Ultimate Python Masterclass: Build 24 Python Projects,Ashutosh Pawar,Not Started,,High,"{'Projects', 'Python', 'Masterclass', 'Ultimate', 'Build'}",
Android N: From Beginner to Paid Professional,"Mark Price, Devslopes by Nathan Sevedge",Not Started,,Low,"{'Professional', 'Beginner', 'Paid', 'Android'}",
The Web Developer Bootcamp 2025,Colt Steele,Not Started,,Low,"{'2025', 'Developer', 'Bootcamp'}",
Build Responsive Real-World Websites with HTML and CSS,Jonas Schmedtmann,Not Started,,Low,"{'Real', 'World', 'Html', 'Responsive', 'Websites', 'Build'}",
The Complete JavaScript Course 2025: From Zero to Expert!,Jonas Schmedtmann,Not Started,,Low,"{'JavaScript', '2025', 'Expert', 'Complete', 'Course', 'Zero'}",
Angular - The Complete Guide (2025 Edition),Maximilian Schwarzmüller,Not Started,,Low,"{'2025', 'Complete', 'Angular', 'Edition', 'Guide'}",
